video_id,title,channel,publish_time,views,likes,comments,category
Aiyk2vzlGO8,Dhanda Nyoliwala - Underground (Music Video) | Deepesh Goyal | VYRL Haryanvi,VYRL Haryanvi,2025-09-17 05:30:49+00:00,1666863,63956,3103,10
xLfx0ScHOyk,VRUSSHABHA - TEASER | Mohanlal | Jayaram | Nanda Kishore | Devi Sri Prasad | Vrushabha Trailer,WonDer BoSs  • 2.6M views • 4 hours go           .,2025-09-18 11:36:14+00:00,49962,606,68,22
b-Rvv-lDQes,From Woodpecker to AC80😈 Let’s Make Enemies CRY🔥,Zerox FF,2025-09-19 12:57:08+00:00,423556,7797,5,20
8cviQKlGBoE,Rekka Rekka | Bison Kaalamaadan | Dhruv Vikram | Mari Selvaraj | Nivas K Prasanna | Arivu | Vedan,Think Music India,2025-09-16 12:30:18+00:00,3538331,58934,2859,10
u7OxDaU_qcA,Mahavatar Narsimha | Official Trailer | Netflix India,Netflix India,2025-09-19 07:00:00+00:00,159189,7891,418,24
_kJ5Tho5m9M,I was Working at The Gas Station at 3 AM (The Pit Stop - Short Horror Game),Live Insaan,2025-09-18 11:30:37+00:00,623052,29351,1661,20
cK8FQQ5gf_s,2025 विश्वकर्मा पूजा आरती - Vishwakarma Aarti - Rinky Vishwakarma - Vishwakarma Pooja Aarti,Spiritual Activity,2025-09-16 22:30:13+00:00,655362,3668,230,10
OE-I8Bj4Qzk,Devi Chowdhurani Official Trailer | Prosenjit C | Srabanti C | Subhrajit M | ADited| LOK | 26th Sept,Zee Music Bangla,2025-09-18 11:30:17+00:00,66201,4027,731,24
RiT_37U8vOw,Minecraft But Youtubers become Animals..,Karry Kraft,2025-09-17 12:48:39+00:00,680098,7771,462,20
8QriW4qX_lg,"Confuse Darling (Official Video) Masoom Sharma | Manjeet Mor, Aarohi Raghav | New Haryanvi Song 2025",Nav Haryanvi,2025-09-19 04:37:44+00:00,106957,7574,228,10
annnFvnbn38,Kantara 2: A Legend Chapter 1 - Hindi Trailer | Rishab Shetty | Sapthami Gowda | #Kantara2 Trailer,"T-Star Studio • 13M views • 2 hours ago



...",2025-09-18 08:05:38+00:00,48211,826,15,24
93_waHVgDFY,From Poor to Rich in Avaritia Civilization in Minecraft..,Flame playz,2025-09-19 08:30:06+00:00,115304,2383,115,20
5sZoINWm1qw,#VIDEO #Pawan Singh & #Shilpi Raj | आ गया गर्दा मचाने |बदलते बा भतार | New Bhojpuri Song 2025,Lalla Music World,2025-09-12 12:00:16+00:00,46275,207,6,22
ZKC_CBfJnFc,ట్రైలర్ అప్డేట్ కోసం ఫ్యాన్స్ వెయిటింగ్ | OG Movie Trailer Update | Pawan Kalyan | 10tv Ent,10TV Entertainment,2025-09-18 03:14:21+00:00,52008,1208,31,24
L60SfOLwhdg,Free fire india custom ,Bold gaming ,2025-09-17 15:21:36+00:00,159605,2962,39,20
PNGmM0ad-HE,Sadi Nila Nila | #Paras Raj Yadav | Nila Nila Sadi | #Anjali Bharti | #Khortha Video 2025,KS Bhakti Bhajan,2025-09-17 12:16:13+00:00,110551,819,10,10
IU9ttIWDXWU,"They Call Him OG"" Official Trailer | PSPK | Priyanka | Emraan | Sujeeth | Thaman S #OG #ogtrailer",Filmy Music Vibes,2025-09-16 11:15:05+00:00,630692,22060,108,10
dOLg5YtBJb8,BADGE99 vs AMITBHAI (Desi Gamer) Best Clash Battle Who will Win - Garena Free Fire,Badge 99,2025-09-19 03:30:24+00:00,241844,24710,1179,20
NK_L0gYMx9w,#Video | विश्वकर्मा पूजा स्पेशल गीत 2025 | New Vishwakarma Puja Song 2025 | Vishwakarma Puja Ke Gana,Jyoti Music,2025-09-16 01:30:32+00:00,720681,4133,162,22
uogrgIasYcA,Now You See Me: Now You Don’t (2025) - Official Trailer #2,Lionsgate Movies,2025-09-18 15:00:11+00:00,1058011,16665,819,1
